id_transaksi,tanggal_transaksi,id_pelanggan,nama_pelanggan,id_distributor,id_cabang,nama_daerah,jenis_usaha,id_barang,nama_barang,id_merek,kategori_produk,tipe_produk,satuan_kemasan,jumlah_barang,harga_idr
IN6110,2022-03-06,CUST55576,"APOTEK MAJA",TA,CAB02,Kuningan,Apotek,BRG0007,"ERGOTAMINE COFFEINE",BRND007,ETIKAL,"Produk jadi",BOTOL,9,64700.00
IN6111,2022-05-26,CUST55657,"APOTEK TAPAK",EPM,CAB01,Aceh,Apotek,BRG0008,"TETRACYCLINE KAPSUL 250 MG",BRND008,MARCKS,"Produk jadi",KAPSUL,12,9800.00
IN6112,2022-05-03,CUST55726,"APOTEK MAJA",TA,CAB02,Kuningan,Apotek,BRG0007,"ERGOTAMINE COFFEINE",BRND007,ETIKAL,"Produk jadi",BOTOL,34,64700.00
IN6113,2022-01-27,CUST55400,"APOTEK SINAR JAYA",TA,CAB06,Bekasi,Apotek,BRG0001,"ACYCLOVIR DUS",BRND001,"OGB & PH","Produk jadi",DUS,12,96000.00
IN6114,2022-02-27,CUST55569,"KLINIK GM",TA,CAB03,Jakarta,Klinik,BRG0010,PARACETAMOL,BRND010,SLCYL,"Produk jadi",BOTOL,98,21000.00
IN6115,2022-05-03,CUST55716,"APOTEK SAHABAT",EPM,CAB07,Padang,Apotek,BRG0007,"ERGOTAMINE COFFEINE",BRND007,ETIKAL,"Produk jadi",BOTOL,10,64700.00
IN6116,2022-01-28,CUST55455,"APOTEK TAPAK",EPM,CAB01,Aceh,Apotek,BRG0006,"KETOCONAZOLE TABLET 200 MG",BRND006,"OGB & PH","Produk jadi",TABLET,67,39000.00
IN6117,2022-05-22,CUST55667,"KLINIK GM",TA,CAB03,Jakarta,Klinik,BRG0008,"TETRACYCLINE KAPSUL 250 MG",BRND008,MARCKS,"Produk jadi",KAPSUL,5,9800.00
IN6118,2022-01-27,CUST55502,"KLINIK GM",TA,CAB03,Jakarta,Klinik,BRG0003,AMPICILLIN,BRND003,MARCKS,"Produk jadi",BOTOL,19,17000.00
IN6119,2022-01-28,CUST55449,"KLINIK GM",TA,CAB03,Jakarta,Klinik,BRG0010,PARACETAMOL,BRND010,SLCYL,"Produk jadi",BOTOL,14,21000.00
IN6120,2022-02-01,CUST55465,"APOTEK MERDEKA",TA,CAB04,Bandung,Apotek,BRG0006,"KETOCONAZOLE TABLET 200 MG",BRND006,"OGB & PH","Produk jadi",TABLET,14,39000.00
IN6121,2022-05-21,CUST55666,"APOTEK MAJA",TA,CAB02,Kuningan,Apotek,BRG0007,"ERGOTAMINE COFFEINE",BRND007,ETIKAL,"Produk jadi",BOTOL,98,64700.00
IN6122,2022-01-30,CUST55445,"APOTEK SINAR JAYA",TA,CAB06,Bekasi,Apotek,BRG0006,"KETOCONAZOLE TABLET 200 MG",BRND006,"OGB & PH","Produk jadi",TABLET,21,39000.00
IN6123,2022-06-16,CUST55697,"KLINIK GM",TA,CAB03,Jakarta,Klinik,BRG0008,"TETRACYCLINE KAPSUL 250 MG",BRND008,MARCKS,"Produk jadi",KAPSUL,12,9800.00
IN6124,2022-01-27,CUST55442,"KLINIK GM",TA,CAB03,Jakarta,Klinik,BRG0003,AMPICILLIN,BRND003,MARCKS,"Produk jadi",BOTOL,95,17000.00
IN6125,2022-01-23,CUST55402,"APOTEK TAPAK",EPM,CAB01,Aceh,Apotek,BRG0003,AMPICILLIN,BRND003,MARCKS,"Produk jadi",BOTOL,14,17000.00
IN6126,2022-04-23,CUST55624,"KLINIK SAHABAT",TD,CAB05,Tangerang,Klinik,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",BRND005,SLCYL,"Produk jadi",TABLET,45,47000.00
IN6127,2022-04-24,CUST55625,"APOTEK SINAR JAYA",TA,CAB06,Bekasi,Apotek,BRG0006,"KETOCONAZOLE TABLET 200 MG",BRND006,"OGB & PH","Produk jadi",TABLET,34,39000.00
IN6128,2022-02-01,CUST55537,"APOTEK TAPAK",EPM,CAB01,Aceh,Apotek,BRG0008,"TETRACYCLINE KAPSUL 250 MG",BRND008,MARCKS,"Produk jadi",KAPSUL,79,9800.00
IN6129,2022-02-14,CUST55556,"KLINIK SAHABAT",TD,CAB05,Tangerang,Klinik,BRG0001,"ACYCLOVIR DUS",BRND001,"OGB & PH","Produk jadi",DUS,8,96000.00
IN6130,2022-01-31,CUST55518,"APOTEK MERDEKA",TA,CAB04,Bandung,Apotek,BRG0009,"AMBROXOL HC",BRND009,VNS,"Produk jadi",BOTOL,5,31000.00
IN6131,2022-01-27,CUST55418,"APOTEK MAJA",TA,CAB02,Kuningan,Apotek,BRG0009,"AMBROXOL HC",BRND009,VNS,"Produk jadi",BOTOL,10,31000.00
IN6132,2022-04-30,CUST55708,"APOTEK SAHABAT",EPM,CAB07,Padang,Apotek,BRG0003,AMPICILLIN,BRND003,MARCKS,"Produk jadi",BOTOL,12,17000.00
IN6133,2022-02-01,CUST55429,"KLINIK SAHABAT",TD,CAB05,Tangerang,Klinik,BRG0010,PARACETAMOL,BRND010,SLCYL,"Produk jadi",BOTOL,78,21000.00
IN6134,2022-02-01,CUST55441,"APOTEK MAJA",TA,CAB02,Kuningan,Apotek,BRG0002,"ALERGINE TABLET SALUT",BRND002,ETIKAL,"Produk jadi",DUS,12,112000.00
IN6135,2022-02-08,CUST55550,"APOTEK SINAR JAYA",TA,CAB06,Bekasi,Apotek,BRG0001,"ACYCLOVIR DUS",BRND001,"OGB & PH","Produk jadi",DUS,12,96000.00
IN6136,2022-01-27,CUST55526,"KLINIK SAHABAT",TD,CAB05,Tangerang,Klinik,BRG0001,"ACYCLOVIR DUS",BRND001,"OGB & PH","Produk jadi",DUS,78,96000.00
IN6137,2022-03-03,CUST55573,"APOTEK SAHABAT",EPM,CAB07,Padang,Apotek,BRG0004,"TRAMADOL KAPSUL 50 MG",BRND004,VNS,"Produk jadi",KAPSUL,9,24500.00
IN6138,2022-04-18,CUST55661,"KLINIK SAHABAT",TD,CAB05,Tangerang,Klinik,BRG0002,"ALERGINE TABLET SALUT",BRND002,ETIKAL,"Produk jadi",DUS,10,112000.00
IN6139,2022-04-22,CUST55623,"APOTEK MERDEKA",TA,CAB04,Bandung,Apotek,BRG0004,"TRAMADOL KAPSUL 50 MG",BRND004,VNS,"Produk jadi",KAPSUL,78,24500.00
IN6140,2022-03-25,CUST55595,"APOTEK SINAR JAYA",TA,CAB06,Bekasi,Apotek,BRG0006,"KETOCONAZOLE TABLET 200 MG",BRND006,"OGB & PH","Produk jadi",TABLET,25,39000.00
IN6141,2022-01-28,CUST55401,"APOTEK SAHABAT",EPM,CAB07,Padang,Apotek,BRG0002,"ALERGINE TABLET SALUT",BRND002,ETIKAL,"Produk jadi",DUS,25,112000.00
IN6142,2022-05-01,CUST55724,"KLINIK DR. ANDRI",TD,CAB08,Lampung,Klinik,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",BRND005,SLCYL,"Produk jadi",TABLET,45,47000.00
IN6143,2022-05-02,CUST55705,"APOTEK MERDEKA",TA,CAB04,Bandung,Apotek,BRG0006,"KETOCONAZOLE TABLET 200 MG",BRND006,"OGB & PH","Produk jadi",TABLET,24,39000.00
IN6144,2022-01-22,CUST55383,"APOTEK MERDEKA",TA,CAB04,Bandung,Apotek,BRG0004,"TRAMADOL KAPSUL 50 MG",BRND004,VNS,"Produk jadi",KAPSUL,13,24500.00
IN6145,2022-04-20,CUST55642,"APOTEK TAPAK",EPM,CAB01,Aceh,Apotek,BRG0003,AMPICILLIN,BRND003,MARCKS,"Produk jadi",BOTOL,25,17000.00
IN6146,2022-01-27,CUST55412,"KLINIK GM",TA,CAB03,Jakarta,Klinik,BRG0003,AMPICILLIN,BRND003,MARCKS,"Produk jadi",BOTOL,25,17000.00
IN6147,2022-02-13,CUST55555,"APOTEK MERDEKA",TA,CAB04,Bandung,Apotek,BRG0006,"KETOCONAZOLE TABLET 200 MG",BRND006,"OGB & PH","Produk jadi",TABLET,4,39000.00
IN6148,2022-01-31,CUST55476,"APOTEK SAHABAT",EPM,CAB07,Padang,Apotek,BRG0007,"ERGOTAMINE COFFEINE",BRND007,ETIKAL,"Produk jadi",BOTOL,9,64700.00
IN6149,2022-03-20,CUST55590,"APOTEK TAPAK",EPM,CAB01,Aceh,Apotek,BRG0001,"ACYCLOVIR DUS",BRND001,"OGB & PH","Produk jadi",DUS,14,96000.00
IN6150,2022-05-20,CUST55651,"APOTEK MAJA",TA,CAB02,Kuningan,Apotek,BRG0002,"ALERGINE TABLET SALUT",BRND002,ETIKAL,"Produk jadi",DUS,5,112000.00
IN6151,2022-05-02,CUST55720,"APOTEK MERDEKA",TA,CAB04,Bandung,Apotek,BRG0001,"ACYCLOVIR DUS",BRND001,"OGB & PH","Produk jadi",DUS,78,96000.00
IN6152,2022-01-31,CUST55512,"APOTEK SINAR JAYA",TA,CAB06,Bekasi,Apotek,BRG0003,AMPICILLIN,BRND003,MARCKS,"Produk jadi",BOTOL,10,17000.00
IN6153,2022-03-27,CUST55597,"APOTEK TAPAK",EPM,CAB01,Aceh,Apotek,BRG0008,"TETRACYCLINE KAPSUL 250 MG",BRND008,MARCKS,"Produk jadi",KAPSUL,18,9800.00
IN6154,2022-04-19,CUST55641,"APOTEK SAHABAT",EPM,CAB07,Padang,Apotek,BRG0002,"ALERGINE TABLET SALUT",BRND002,ETIKAL,"Produk jadi",DUS,12,112000.00
IN6155,2022-01-21,CUST55382,"KLINIK GM",TA,CAB03,Jakarta,Klinik,BRG0003,AMPICILLIN,BRND003,MARCKS,"Produk jadi",BOTOL,9,17000.00
IN6156,2022-04-07,CUST55608,"APOTEK MERDEKA",TA,CAB04,Bandung,Apotek,BRG0009,"AMBROXOL HC",BRND009,VNS,"Produk jadi",BOTOL,24,31000.00
IN6157,2022-04-12,CUST55613,"APOTEK MAJA",TA,CAB02,Kuningan,Apotek,BRG0004,"TRAMADOL KAPSUL 50 MG",BRND004,VNS,"Produk jadi",KAPSUL,67,24500.00
IN6158,2022-05-01,CUST55699,"KLINIK SAHABAT",TD,CAB05,Tangerang,Klinik,BRG0010,PARACETAMOL,BRND010,SLCYL,"Produk jadi",BOTOL,14,21000.00
IN6159,2022-06-13,CUST55689,"KLINIK GM",TA,CAB03,Jakarta,Klinik,BRG0010,PARACETAMOL,BRND010,SLCYL,"Produk jadi",BOTOL,67,21000.00
IN6160,2022-05-27,CUST55672,"APOTEK TAPAK",EPM,CAB01,Aceh,Apotek,BRG0003,AMPICILLIN,BRND003,MARCKS,"Produk jadi",BOTOL,5,17000.00
IN6161,2022-01-27,CUST55466,"KLINIK SAHABAT",TD,CAB05,Tangerang,Klinik,BRG0001,"ACYCLOVIR DUS",BRND001,"OGB & PH","Produk jadi",DUS,24,96000.00
IN6162,2022-01-28,CUST55503,"APOTEK MERDEKA",TA,CAB04,Bandung,Apotek,BRG0004,"TRAMADOL KAPSUL 50 MG",BRND004,VNS,"Produk jadi",KAPSUL,12,24500.00
IN6163,2022-01-30,CUST55421,"KLINIK SAHABAT",TD,CAB05,Tangerang,Klinik,BRG0002,"ALERGINE TABLET SALUT",BRND002,ETIKAL,"Produk jadi",DUS,5,112000.00
IN6164,2022-03-08,CUST55578,"APOTEK MERDEKA",TA,CAB04,Bandung,Apotek,BRG0009,"AMBROXOL HC",BRND009,VNS,"Produk jadi",BOTOL,1,31000.00
IN6165,2022-06-16,CUST55722,"APOTEK SINAR JAYA",TA,CAB06,Bekasi,Apotek,BRG0003,AMPICILLIN,BRND003,MARCKS,"Produk jadi",BOTOL,34,17000.00
IN6166,2022-05-30,CUST55675,"APOTEK MERDEKA",TA,CAB04,Bandung,Apotek,BRG0006,"KETOCONAZOLE TABLET 200 MG",BRND006,"OGB & PH","Produk jadi",TABLET,1,39000.00
IN6167,2022-01-28,CUST55491,"APOTEK SAHABAT",EPM,CAB07,Padang,Apotek,BRG0002,"ALERGINE TABLET SALUT",BRND002,ETIKAL,"Produk jadi",DUS,12,112000.00
IN6168,2022-05-13,CUST55644,"KLINIK GM",TA,CAB03,Jakarta,Klinik,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",BRND005,SLCYL,"Produk jadi",TABLET,24,47000.00
IN6169,2022-05-20,CUST55665,"APOTEK TAPAK",EPM,CAB01,Aceh,Apotek,BRG0006,"KETOCONAZOLE TABLET 200 MG",BRND006,"OGB & PH","Produk jadi",TABLET,67,39000.00
IN6170,2022-01-30,CUST55505,"APOTEK SINAR JAYA",TA,CAB06,Bekasi,Apotek,BRG0006,"KETOCONAZOLE TABLET 200 MG",BRND006,"OGB & PH","Produk jadi",TABLET,14,39000.00
IN6171,2022-02-03,CUST55545,"APOTEK TAPAK",EPM,CAB01,Aceh,Apotek,BRG0006,"KETOCONAZOLE TABLET 200 MG",BRND006,"OGB & PH","Produk jadi",TABLET,25,39000.00
IN6172,2022-01-28,CUST55497,"APOTEK SINAR JAYA",TA,CAB06,Bekasi,Apotek,BRG0002,"ALERGINE TABLET SALUT",BRND002,ETIKAL,"Produk jadi",DUS,12,112000.00
IN6173,2022-01-27,CUST55406,"KLINIK SAHABAT",TD,CAB05,Tangerang,Klinik,BRG0001,"ACYCLOVIR DUS",BRND001,"OGB & PH","Produk jadi",DUS,12,96000.00
IN6174,2022-04-17,CUST55618,"APOTEK SAHABAT",EPM,CAB07,Padang,Apotek,BRG0003,AMPICILLIN,BRND003,MARCKS,"Produk jadi",BOTOL,9,17000.00
IN6175,2022-01-31,CUST55404,"KLINIK GM",TA,CAB03,Jakarta,Klinik,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",BRND005,SLCYL,"Produk jadi",TABLET,18,47000.00
IN6176,2022-01-30,CUST55403,"APOTEK MAJA",TA,CAB02,Kuningan,Apotek,BRG0004,"TRAMADOL KAPSUL 50 MG",BRND004,VNS,"Produk jadi",KAPSUL,18,24500.00
IN6177,2022-03-15,CUST55585,"APOTEK MERDEKA",TA,CAB04,Bandung,Apotek,BRG0006,"KETOCONAZOLE TABLET 200 MG",BRND006,"OGB & PH","Produk jadi",TABLET,17,39000.00
IN6178,2022-05-02,CUST55695,"APOTEK TAPAK",EPM,CAB01,Aceh,Apotek,BRG0006,"KETOCONAZOLE TABLET 200 MG",BRND006,"OGB & PH","Produk jadi",TABLET,18,39000.00
IN6179,2022-05-24,CUST55669,"KLINIK SAHABAT",TD,CAB05,Tangerang,Klinik,BRG0010,PARACETAMOL,BRND010,SLCYL,"Produk jadi",BOTOL,8,21000.00
IN6180,2022-04-13,CUST55614,"KLINIK GM",TA,CAB03,Jakarta,Klinik,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",BRND005,SLCYL,"Produk jadi",TABLET,98,47000.00
IN6181,2022-02-07,CUST55549,"KLINIK SAHABAT",TD,CAB05,Tangerang,Klinik,BRG0010,PARACETAMOL,BRND010,SLCYL,"Produk jadi",BOTOL,130,21000.00
IN6182,2022-03-07,CUST55577,"KLINIK GM",TA,CAB03,Jakarta,Klinik,BRG0008,"TETRACYCLINE KAPSUL 250 MG",BRND008,MARCKS,"Produk jadi",KAPSUL,13,9800.00
IN6183,2022-01-23,CUST55498,"APOTEK SAHABAT",EPM,CAB07,Padang,Apotek,BRG0003,AMPICILLIN,BRND003,MARCKS,"Produk jadi",BOTOL,25,17000.00
IN6184,2022-01-28,CUST55395,"APOTEK TAPAK",EPM,CAB01,Aceh,Apotek,BRG0006,"KETOCONAZOLE TABLET 200 MG",BRND006,"OGB & PH","Produk jadi",TABLET,25,39000.00
IN6185,2022-02-01,CUST55483,"APOTEK SAHABAT",EPM,CAB07,Padang,Apotek,BRG0004,"TRAMADOL KAPSUL 50 MG",BRND004,VNS,"Produk jadi",KAPSUL,9,24500.00
IN6186,2022-01-31,CUST55500,"APOTEK TAPAK",EPM,CAB01,Aceh,Apotek,BRG0001,"ACYCLOVIR DUS",BRND001,"OGB & PH","Produk jadi",DUS,18,96000.00
IN6187,2022-04-05,CUST55606,"APOTEK MAJA",TA,CAB02,Kuningan,Apotek,BRG0007,"ERGOTAMINE COFFEINE",BRND007,ETIKAL,"Produk jadi",BOTOL,25,64700.00
IN6188,2022-01-27,CUST55454,"KLINIK DR. ANDRI",TD,CAB08,Lampung,Klinik,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",BRND005,SLCYL,"Produk jadi",TABLET,10,47000.00
IN6189,2022-03-04,CUST55574,"KLINIK DR. ANDRI",TD,CAB08,Lampung,Klinik,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",BRND005,SLCYL,"Produk jadi",TABLET,1,47000.00
IN6190,2022-01-23,CUST55390,"APOTEK MERDEKA",TA,CAB04,Bandung,Apotek,BRG0001,"ACYCLOVIR DUS",BRND001,"OGB & PH","Produk jadi",DUS,2,96000.00
IN6191,2022-01-31,CUST55422,"APOTEK SINAR JAYA",TA,CAB06,Bekasi,Apotek,BRG0003,AMPICILLIN,BRND003,MARCKS,"Produk jadi",BOTOL,4,17000.00
IN6192,2022-05-14,CUST55645,"APOTEK MERDEKA",TA,CAB04,Bandung,Apotek,BRG0006,"KETOCONAZOLE TABLET 200 MG",BRND006,"OGB & PH","Produk jadi",TABLET,10,39000.00
IN6193,2022-03-18,CUST55588,"APOTEK SAHABAT",EPM,CAB07,Padang,Apotek,BRG0003,AMPICILLIN,BRND003,MARCKS,"Produk jadi",BOTOL,12,17000.00
IN6194,2022-04-18,CUST55658,"APOTEK MAJA",TA,CAB02,Kuningan,Apotek,BRG0009,"AMBROXOL HC",BRND009,VNS,"Produk jadi",BOTOL,25,31000.00
IN6195,2022-01-31,CUST55398,"APOTEK MERDEKA",TA,CAB04,Bandung,Apotek,BRG0009,"AMBROXOL HC",BRND009,VNS,"Produk jadi",BOTOL,67,31000.00
IN6196,2022-01-31,CUST55530,"APOTEK TAPAK",EPM,CAB01,Aceh,Apotek,BRG0001,"ACYCLOVIR DUS",BRND001,"OGB & PH","Produk jadi",DUS,45,96000.00
IN6197,2022-04-29,CUST55630,"APOTEK MERDEKA",TA,CAB04,Bandung,Apotek,BRG0001,"ACYCLOVIR DUS",BRND001,"OGB & PH","Produk jadi",DUS,34,96000.00
IN6198,2022-06-04,CUST55680,"APOTEK TAPAK",EPM,CAB01,Aceh,Apotek,BRG0001,"ACYCLOVIR DUS",BRND001,"OGB & PH","Produk jadi",DUS,4,96000.00
IN6199,2022-01-28,CUST55509,"KLINIK GM",TA,CAB03,Jakarta,Klinik,BRG0010,PARACETAMOL,BRND010,SLCYL,"Produk jadi",BOTOL,25,21000.00
IN6200,2022-01-28,CUST55473,"APOTEK MERDEKA",TA,CAB04,Bandung,Apotek,BRG0004,"TRAMADOL KAPSUL 50 MG",BRND004,VNS,"Produk jadi",KAPSUL,5,24500.00
IN6201,2022-05-23,CUST55668,"APOTEK MERDEKA",TA,CAB04,Bandung,Apotek,BRG0009,"AMBROXOL HC",BRND009,VNS,"Produk jadi",BOTOL,4,31000.00
IN6202,2022-01-23,CUST55528,"APOTEK SAHABAT",EPM,CAB07,Padang,Apotek,BRG0003,AMPICILLIN,BRND003,MARCKS,"Produk jadi",BOTOL,34,17000.00
IN6203,2022-01-31,CUST55524,"KLINIK GM",TA,CAB03,Jakarta,Klinik,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",BRND005,SLCYL,"Produk jadi",TABLET,100,47000.00
IN6204,2022-06-16,CUST55727,"KLINIK GM",TA,CAB03,Jakarta,Klinik,BRG0008,"TETRACYCLINE KAPSUL 250 MG",BRND008,MARCKS,"Produk jadi",KAPSUL,34,9800.00
IN6205,2022-01-27,CUST55520,"APOTEK SINAR JAYA",TA,CAB06,Bekasi,Apotek,BRG0001,"ACYCLOVIR DUS",BRND001,"OGB & PH","Produk jadi",DUS,8,96000.00
IN6206,2022-03-12,CUST55582,"APOTEK TAPAK",EPM,CAB01,Aceh,Apotek,BRG0003,AMPICILLIN,BRND003,MARCKS,"Produk jadi",BOTOL,23,17000.00
IN6207,2022-04-04,CUST55605,"APOTEK TAPAK",EPM,CAB01,Aceh,Apotek,BRG0006,"KETOCONAZOLE TABLET 200 MG",BRND006,"OGB & PH","Produk jadi",TABLET,12,39000.00
IN6208,2022-01-30,CUST55475,"APOTEK SINAR JAYA",TA,CAB06,Bekasi,Apotek,BRG0006,"KETOCONAZOLE TABLET 200 MG",BRND006,"OGB & PH","Produk jadi",TABLET,8,39000.00
IN6209,2022-03-16,CUST55586,"KLINIK SAHABAT",TD,CAB05,Tangerang,Klinik,BRG0001,"ACYCLOVIR DUS",BRND001,"OGB & PH","Produk jadi",DUS,11,96000.00
IN6210,2022-01-23,CUST55486,"APOTEK MAJA",TA,CAB02,Kuningan,Apotek,BRG0007,"ERGOTAMINE COFFEINE",BRND007,ETIKAL,"Produk jadi",BOTOL,4,64700.00
IN6211,2022-02-01,CUST55501,"APOTEK MAJA",TA,CAB02,Kuningan,Apotek,BRG0002,"ALERGINE TABLET SALUT",BRND002,ETIKAL,"Produk jadi",DUS,18,112000.00
IN6212,2022-06-05,CUST55681,"APOTEK MAJA",TA,CAB02,Kuningan,Apotek,BRG0002,"ALERGINE TABLET SALUT",BRND002,ETIKAL,"Produk jadi",DUS,2,112000.00
IN6213,2022-05-03,CUST55701,"APOTEK SAHABAT",EPM,CAB07,Padang,Apotek,BRG0002,"ALERGINE TABLET SALUT",BRND002,ETIKAL,"Produk jadi",DUS,22,112000.00
IN6214,2022-01-28,CUST55461,"APOTEK SAHABAT",EPM,CAB07,Padang,Apotek,BRG0002,"ALERGINE TABLET SALUT",BRND002,ETIKAL,"Produk jadi",DUS,21,112000.00
IN6215,2022-01-23,CUST55510,"APOTEK MERDEKA",TA,CAB04,Bandung,Apotek,BRG0001,"ACYCLOVIR DUS",BRND001,"OGB & PH","Produk jadi",DUS,14,96000.00
IN6216,2022-01-23,CUST55456,"APOTEK MAJA",TA,CAB02,Kuningan,Apotek,BRG0007,"ERGOTAMINE COFFEINE",BRND007,ETIKAL,"Produk jadi",BOTOL,98,64700.00
IN6217,2022-01-23,CUST55438,"APOTEK SAHABAT",EPM,CAB07,Padang,Apotek,BRG0003,AMPICILLIN,BRND003,MARCKS,"Produk jadi",BOTOL,5,17000.00
IN6218,2022-04-17,CUST55639,"KLINIK SAHABAT",TD,CAB05,Tangerang,Klinik,BRG0010,PARACETAMOL,BRND010,SLCYL,"Produk jadi",BOTOL,21,21000.00
IN6219,2022-01-27,CUST55436,"KLINIK SAHABAT",TD,CAB05,Tangerang,Klinik,BRG0001,"ACYCLOVIR DUS",BRND001,"OGB & PH","Produk jadi",DUS,34,96000.00
IN6220,2022-01-23,CUST55444,"KLINIK SAHABAT",TD,CAB05,Tangerang,Klinik,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",BRND005,SLCYL,"Produk jadi",TABLET,48,47000.00
IN6221,2022-01-23,CUST55504,"KLINIK SAHABAT",TD,CAB05,Tangerang,Klinik,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",BRND005,SLCYL,"Produk jadi",TABLET,25,47000.00
IN6222,2022-06-02,CUST55678,"APOTEK SAHABAT",EPM,CAB07,Padang,Apotek,BRG0003,AMPICILLIN,BRND003,MARCKS,"Produk jadi",BOTOL,1,17000.00
IN6223,2022-05-02,CUST55633,"APOTEK SAHABAT",EPM,CAB07,Padang,Apotek,BRG0004,"TRAMADOL KAPSUL 50 MG",BRND004,VNS,"Produk jadi",KAPSUL,6,24500.00
IN6224,2022-02-17,CUST55559,"KLINIK DR. ANDRI",TD,CAB08,Lampung,Klinik,BRG0004,"TRAMADOL KAPSUL 50 MG",BRND004,VNS,"Produk jadi",KAPSUL,22,24500.00
IN6225,2022-04-30,CUST55631,"KLINIK SAHABAT",TD,CAB05,Tangerang,Klinik,BRG0002,"ALERGINE TABLET SALUT",BRND002,ETIKAL,"Produk jadi",DUS,44,112000.00
IN6226,2022-01-31,CUST55416,"APOTEK SAHABAT",EPM,CAB07,Padang,Apotek,BRG0007,"ERGOTAMINE COFFEINE",BRND007,ETIKAL,"Produk jadi",BOTOL,23,64700.00
IN6227,2022-04-10,CUST55611,"APOTEK SAHABAT",EPM,CAB07,Padang,Apotek,BRG0002,"ALERGINE TABLET SALUT",BRND002,ETIKAL,"Produk jadi",DUS,12,112000.00
IN6228,2022-01-27,CUST55508,"APOTEK MAJA",TA,CAB02,Kuningan,Apotek,BRG0009,"AMBROXOL HC",BRND009,VNS,"Produk jadi",BOTOL,12,31000.00
IN6229,2022-03-05,CUST55575,"APOTEK TAPAK",EPM,CAB01,Aceh,Apotek,BRG0006,"KETOCONAZOLE TABLET 200 MG",BRND006,"OGB & PH","Produk jadi",TABLET,5,39000.00
IN6230,2022-01-28,CUST55413,"APOTEK MERDEKA",TA,CAB04,Bandung,Apotek,BRG0004,"TRAMADOL KAPSUL 50 MG",BRND004,VNS,"Produk jadi",KAPSUL,14,24500.00
IN6231,2022-02-21,CUST55563,"APOTEK MERDEKA",TA,CAB04,Bandung,Apotek,BRG0004,"TRAMADOL KAPSUL 50 MG",BRND004,VNS,"Produk jadi",KAPSUL,24,24500.00
IN6232,2022-04-08,CUST55609,"KLINIK SAHABAT",TD,CAB05,Tangerang,Klinik,BRG0010,PARACETAMOL,BRND010,SLCYL,"Produk jadi",BOTOL,10,21000.00
IN6233,2022-01-23,CUST55450,"APOTEK MERDEKA",TA,CAB04,Bandung,Apotek,BRG0001,"ACYCLOVIR DUS",BRND001,"OGB & PH","Produk jadi",DUS,24,96000.00
IN6234,2022-02-10,CUST55552,"APOTEK TAPAK",EPM,CAB01,Aceh,Apotek,BRG0003,AMPICILLIN,BRND003,MARCKS,"Produk jadi",BOTOL,67,17000.00
IN6235,2022-01-30,CUST55451,"KLINIK SAHABAT",TD,CAB05,Tangerang,Klinik,BRG0002,"ALERGINE TABLET SALUT",BRND002,ETIKAL,"Produk jadi",DUS,10,112000.00
IN6236,2022-06-08,CUST55684,"KLINIK SAHABAT",TD,CAB05,Tangerang,Klinik,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",BRND005,SLCYL,"Produk jadi",TABLET,12,47000.00
IN6237,2022-04-18,CUST55619,"KLINIK DR. ANDRI",TD,CAB08,Lampung,Klinik,BRG0004,"TRAMADOL KAPSUL 50 MG",BRND004,VNS,"Produk jadi",KAPSUL,10,24500.00
IN6238,2022-01-27,CUST55460,"APOTEK SINAR JAYA",TA,CAB06,Bekasi,Apotek,BRG0001,"ACYCLOVIR DUS",BRND001,"OGB & PH","Produk jadi",DUS,9,96000.00
IN6239,2022-03-02,CUST55572,"APOTEK SINAR JAYA",TA,CAB06,Bekasi,Apotek,BRG0003,AMPICILLIN,BRND003,MARCKS,"Produk jadi",BOTOL,8,17000.00
IN6240,2022-01-30,CUST55541,"KLINIK SAHABAT",TD,CAB05,Tangerang,Klinik,BRG0002,"ALERGINE TABLET SALUT",BRND002,ETIKAL,"Produk jadi",DUS,48,112000.00
IN6241,2022-01-31,CUST55440,"APOTEK TAPAK",EPM,CAB01,Aceh,Apotek,BRG0001,"ACYCLOVIR DUS",BRND001,"OGB & PH","Produk jadi",DUS,79,96000.00
IN6242,2022-01-23,CUST55534,"KLINIK SAHABAT",TD,CAB05,Tangerang,Klinik,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",BRND005,SLCYL,"Produk jadi",TABLET,44,47000.00
IN6243,2022-02-01,CUST55525,"APOTEK MERDEKA",TA,CAB04,Bandung,Apotek,BRG0006,"KETOCONAZOLE TABLET 200 MG",BRND006,"OGB & PH","Produk jadi",TABLET,67,39000.00
